keyword_name,keyword_pc_search,keyword_phone_search,cafe_contents,blog_contents,smart_store_products,naver_blog_contents_divide_keyword_pc_search,naver_blog_contents_divide_keyword_phone_search,naver_blog_contents_divide_all_keyword_search,naver_cafe_contents_divide_keyword_pc_search,naver_cafe_contents_divide_keyword_phone_search,naver_cafe_contents_divide_all_keyword_search,naver_smart_store_divide_keyword_pc_search,naver_smart_store_divide_keyword_phone_search,naver_smart_store_divide_all_keyword_search
연관키워드,130,40,36660,72100,1,554.6153846153846,1802.5,424.11764705882354,282.0,916.5,215.64705882352942,0.007692307692307693,0.025,0.0058823529411764705
검색엔진,2200,1680,294392,447300,157,203.3181818181818,266.25,115.28350515463917,133.81454545454545,175.23333333333332,75.87422680412371,0.07136363636363637,0.09345238095238095,0.0404639175257732
광고문구,1350,1530,243321,616629,140232,456.76222222222225,403.0254901960784,214.10729166666667,180.23777777777778,159.03333333333333,84.48645833333333,103.87555555555555,91.65490196078431,48.69166666666667
인터넷마케팅,500,470,35326,614665,539,1229.33,1307.7978723404256,633.6752577319587,70.652,75.16170212765958,36.41855670103093,1.078,1.146808510638298,0.5556701030927835
마케팅전략,5380,3350,162439,734537,1341,136.53104089219332,219.264776119403,84.13940435280641,30.193122676579925,48.48925373134328,18.606987399770905,0.24925650557620818,0.4002985074626866,0.15360824742268042
입찰프로그램,100,30,18579,38956,2,389.56,1298.5333333333333,299.66153846153844,185.79,619.3,142.91538461538462,0.02,0.06666666666666667,0.015384615384615385
네이버자동입찰,50,10,2053,4525,0,90.5,452.5,75.41666666666667,41.06,205.3,34.21666666666667,0.0,0.0,0.0
마케팅대행,160,80,17015,154482,48,965.5125,1931.025,643.675,106.34375,212.6875,70.89583333333333,0.3,0.6,0.2
마케팅대행사,720,160,52982,116408,10,161.67777777777778,727.55,132.28181818181818,73.58611111111111,331.1375,60.20681818181818,0.013888888888888888,0.0625,0.011363636363636364
쇼핑몰홍보,660,370,333188,269591,728610,408.47121212121215,728.6243243243243,261.7388349514563,504.830303030303,900.5081081081081,323.4834951456311,1103.9545454545455,1969.2162162162163,707.3883495145631
통합마케팅,710,160,7952,197434,217,278.0760563380282,1233.9625,226.93563218390804,11.2,49.7,9.14022988505747,0.3056338028169014,1.35625,0.24942528735632183
온라인마케팅종류,300,160,7078,73416,672,244.72,458.85,159.6,23.593333333333334,44.2375,15.38695652173913,2.24,4.2,1.4608695652173913
쇼핑몰마케팅,240,200,192935,268483,59997,1118.6791666666666,1342.415,610.1886363636364,803.8958333333334,964.675,438.4886363636364,249.9875,299.985,136.35681818181817
광고마케팅,1360,2530,37550,1111284,1160,817.1205882352941,439.2426877470356,285.6771208226221,27.610294117647058,14.84189723320158,9.652956298200515,0.8529411764705882,0.45849802371541504,0.2982005141388175
언론홍보,750,250,163631,290005,62,386.67333333333335,1160.02,290.005,218.17466666666667,654.524,163.631,0.08266666666666667,0.248,0.062
온라인마케팅대행사,1880,170,10850,71424,4,37.99148936170213,420.1411764705882,34.8409756097561,5.7712765957446805,63.8235294117647,5.2926829268292686,0.002127659574468085,0.023529411764705882,0.001951219512195122
SEO마케팅,350,130,5559,10140,4,28.97142857142857,78.0,21.125,15.882857142857143,42.761538461538464,11.58125,0.011428571428571429,0.03076923076923077,0.008333333333333333
검색마케팅,60,80,204077,418701,88,6978.35,5233.7625,2990.7214285714285,3401.2833333333333,2550.9625,1457.692857142857,1.4666666666666666,1.1,0.6285714285714286
광고입찰,30,20,22560,45106,24,1503.5333333333333,2255.3,902.12,752.0,1128.0,451.2,0.8,1.2,0.48
마케팅전문회사,510,30,177731,257201,27,504.3156862745098,8573.366666666667,476.29814814814813,348.4921568627451,5924.366666666667,329.1314814814815,0.052941176470588235,0.9,0.05
브랜드마케팅교육,520,10,5922,132743,610,255.275,13274.3,250.45849056603774,11.388461538461538,592.2,11.173584905660377,1.1730769230769231,61.0,1.150943396226415
부정클릭방지시스템,340,200,2200,4224,18,12.423529411764706,21.12,7.822222222222222,6.470588235294118,11.0,4.074074074074074,0.052941176470588235,0.09,0.03333333333333333
네이버광고,163000,76000,1013122,530074,3599,3.25198773006135,6.9746578947368425,2.2178828451882846,6.215472392638037,13.330552631578948,4.239004184100418,0.022079754601226995,0.047355263157894734,0.01505857740585774
마케팅자격증,3150,1410,153886,125775,118,39.92857142857143,89.20212765957447,27.582236842105264,48.852698412698416,109.13900709219858,33.746929824561406,0.03746031746031746,0.08368794326241134,0.02587719298245614
광고종류,510,460,319294,635528,309737,1246.1333333333334,1381.5826086956522,655.1835051546392,626.0666666666667,694.1173913043478,329.16907216494843,607.3274509803922,673.341304347826,319.3164948453608
키워드검색,1360,450,741114,366398,109,269.4102941176471,814.2177777777778,202.42983425414366,544.9367647058823,1646.92,409.45524861878454,0.08014705882352942,0.24222222222222223,0.06022099447513812
온라인광고교육,10,10,107603,116170,41,11617.0,11617.0,5808.5,10760.3,10760.3,5380.15,4.1,4.1,2.05
온라인마케팅교육,1940,470,35672,177514,64,91.5020618556701,377.68936170212766,73.65726141078838,18.38762886597938,75.89787234042554,14.801659751037345,0.032989690721649485,0.13617021276595745,0.026556016597510373
스마트아이피,30,20,5800,13161,30617,438.7,658.05,263.22,193.33333333333334,290.0,116.0,1020.5666666666667,1530.85,612.34
키워드대행사,10,10,17185,53687,10,5368.7,5368.7,2684.35,1718.5,1718.5,859.25,1.0,1.0,0.5
SEO,4340,5210,84595,92259,9914,21.25783410138249,17.70806142034549,9.660628272251309,19.491935483870968,16.23704414587332,8.858115183246074,2.284331797235023,1.9028790786948178,1.0381151832460733
네이버광고교육,90,60,93483,52816,26,586.8444444444444,880.2666666666667,352.1066666666667,1038.7,1558.05,623.22,0.28888888888888886,0.43333333333333335,0.17333333333333334
키워드마케팅,200,130,8262,212820,133,1064.1,1637.076923076923,644.9090909090909,41.31,63.55384615384615,25.036363636363635,0.665,1.023076923076923,0.403030303030303
디지털마케팅교육,670,50,3368,61750,39,92.16417910447761,1235.0,85.76388888888889,5.026865671641791,67.36,4.677777777777778,0.058208955223880594,0.78,0.05416666666666667
마케팅자동화,120,60,48932,44094,46,367.45,734.9,244.96666666666667,407.76666666666665,815.5333333333333,271.84444444444443,0.38333333333333336,0.7666666666666667,0.25555555555555554
홍보교육,80,20,670762,922942,4119,11536.775,46147.1,9229.42,8384.525,33538.1,6707.62,51.4875,205.95,41.19
마케팅프로그램,1090,1480,264572,451180,10,413.92660550458714,304.85135135135135,175.55642023346303,242.72660550458716,178.76486486486488,102.94630350194552,0.009174311926605505,0.006756756756756757,0.0038910505836575876
광고에이전시,740,460,27196,40492,3,54.71891891891892,88.02608695652174,33.74333333333333,36.75135135135135,59.12173913043478,22.663333333333334,0.004054054054054054,0.006521739130434782,0.0025
광고플랫폼,230,90,81895,235745,14,1024.9782608695652,2619.3888888888887,736.703125,356.0652173913044,909.9444444444445,255.921875,0.06086956521739131,0.15555555555555556,0.04375
마케팅업체,220,170,451544,1158571,366,5266.231818181818,6815.123529411765,2970.6948717948717,2052.4727272727273,2656.141176470588,1157.8051282051283,1.6636363636363636,2.152941176470588,0.9384615384615385
명함제작프로그램,240,70,7513,15093,79,62.8875,215.61428571428573,48.68709677419355,31.304166666666667,107.32857142857142,24.23548387096774,0.32916666666666666,1.1285714285714286,0.25483870967741934
모바일광고,890,450,15313,455466,488,511.75955056179777,1012.1466666666666,339.9,17.20561797752809,34.028888888888886,11.427611940298508,0.5483146067415731,1.0844444444444445,0.3641791044776119
스마트IP,30,20,32581,97513,161606,3250.4333333333334,4875.65,1950.26,1086.0333333333333,1629.05,651.62,5386.866666666667,8080.3,3232.12
광고대행사순위,880,550,2680,9137,51,10.382954545454545,16.612727272727273,6.3895104895104895,3.0454545454545454,4.872727272727273,1.8741258741258742,0.05795454545454545,0.09272727272727273,0.03566433566433566
마케팅공부,160,190,195769,313037,149,1956.48125,1647.5631578947368,894.3914285714286,1223.55625,1030.3631578947368,559.34,0.93125,0.7842105263157895,0.4257142857142857
마케터,2820,4300,171818,301899,1419,107.0563829787234,70.20906976744186,42.40154494382023,60.92836879432624,39.957674418604654,24.131741573033707,0.5031914893617021,0.33,0.19929775280898876
블로그교육,1010,430,10581,1127403,284,1116.240594059406,2621.867441860465,782.91875,10.476237623762376,24.606976744186046,7.347916666666666,0.2811881188118812,0.6604651162790698,0.19722222222222222
B2B마케팅,1050,250,25261,31657,104,30.14952380952381,126.628,24.35153846153846,24.058095238095238,101.044,19.431538461538462,0.09904761904761905,0.416,0.08
콘텐츠마케팅,690,560,5111,274855,597,398.34057971014494,490.8125,219.884,7.407246376811594,9.126785714285715,4.0888,0.8652173913043478,1.0660714285714286,0.4776
입찰가격,130,90,218850,3146512,1173,24203.938461538462,34961.24444444444,14302.327272727272,1683.4615384615386,2431.6666666666665,994.7727272727273,9.023076923076923,13.033333333333333,5.331818181818182
페이스북마케팅,700,400,5913,214200,1013,306.0,535.5,194.72727272727272,8.447142857142858,14.7825,5.375454545454545,1.447142857142857,2.5325,0.9209090909090909
네이버광고대행사,300,170,11617,21957,1,73.19,129.15882352941176,46.717021276595744,38.723333333333336,68.33529411764705,24.717021276595744,0.0033333333333333335,0.0058823529411764705,0.002127659574468085
인플루언서,16000,37100,18140,70780,580,4.42375,1.9078167115902964,1.3329566854990584,1.13375,0.4889487870619946,0.3416195856873823,0.03625,0.015633423180592992,0.010922787193973634
블로그마케팅교육,840,280,11370,148308,100,176.55714285714285,529.6714285714286,132.41785714285714,13.535714285714286,40.607142857142854,10.151785714285714,0.11904761904761904,0.35714285714285715,0.08928571428571429
마케팅비용,130,70,333557,680925,59997,5237.884615384615,9727.5,3404.625,2565.8230769230768,4765.1,1667.785,461.5153846153846,857.1,299.985
블로그강의,1010,360,472290,600901,84,594.9514851485148,1669.1694444444445,438.61386861313866,467.61386138613864,1311.9166666666667,344.73722627737226,0.08316831683168317,0.23333333333333334,0.061313868613138686
온라인광고대행,2380,640,43718,83408,4,35.04537815126051,130.325,27.618543046357615,18.36890756302521,68.309375,14.476158940397351,0.0016806722689075631,0.00625,0.0013245033112582781
부정클릭,240,100,59577,106580,0,444.0833333333333,1065.8,313.47058823529414,248.2375,595.77,175.2264705882353,0.0,0.0,0.0
마케팅컨설팅,690,100,203275,263898,204,382.46086956521737,2638.98,334.04810126582277,294.6014492753623,2032.75,257.3101265822785,0.2956521739130435,2.04,0.2582278481012658
분양광고대행사,170,60,2434,11511,9,67.71176470588236,191.85,50.04782608695652,14.31764705882353,40.56666666666667,10.582608695652175,0.052941176470588235,0.15,0.0391304347826087
부정클릭방지,80,20,4703,11049,32964,138.1125,552.45,110.49,58.7875,235.15,47.03,412.05,1648.2,329.64
온라인마케팅회사,1220,80,41901,218951,10,179.46803278688526,2736.8875,168.42384615384614,34.34508196721311,523.7625,32.23153846153846,0.00819672131147541,0.125,0.007692307692307693
인스타체험단,500,740,38182,76857,3,153.714,103.8608108108108,61.98145161290323,76.364,51.597297297297295,30.79193548387097,0.006,0.004054054054054054,0.0024193548387096775
마케팅플랜,110,90,6715,75782,106,688.9272727272727,842.0222222222222,378.91,61.04545454545455,74.61111111111111,33.575,0.9636363636363636,1.1777777777777778,0.53
종합마케팅대행사,10,10,7466,11980,0,1198.0,1198.0,599.0,746.6,746.6,373.3,0.0,0.0,0.0
마케팅성공사례,1910,1900,37729,196270,120,102.75916230366492,103.3,51.514435695538054,19.753403141361257,19.85736842105263,9.90262467191601,0.06282722513089005,0.06315789473684211,0.031496062992125984
마케팅제안서,130,40,22429,24985,4,192.19230769230768,624.625,146.97058823529412,172.53076923076924,560.725,131.93529411764706,0.03076923076923077,0.1,0.023529411764705882
마케팅사례,430,300,203562,419892,210,976.4930232558139,1399.64,575.1945205479452,473.4,678.54,278.85205479452054,0.4883720930232558,0.7,0.2876712328767123
CPC,3220,2810,38461,37284,58613,11.57888198757764,13.268327402135231,6.183084577114428,11.9444099378882,13.687188612099645,6.378275290215589,18.2027950310559,20.858718861209965,9.720232172470979
검색광고대행사,50,150,12377,61052,5,1221.04,407.0133333333333,305.26,247.54,82.51333333333334,61.885,0.1,0.03333333333333333,0.025
광고회사순위,770,1040,2070,133891,13235,173.8844155844156,128.74134615384617,73.97292817679558,2.688311688311688,1.9903846153846154,1.143646408839779,17.18831168831169,12.725961538461538,7.3121546961325965
광고방법,90,90,1617510,1872657,354,20807.3,20807.3,10403.65,17972.333333333332,17972.333333333332,8986.166666666666,3.933333333333333,3.933333333333333,1.9666666666666666
바이럴광고전문대행사,70,10,4641,10185,0,145.5,1018.5,127.3125,66.3,464.1,58.0125,0.0,0.0,0.0
온라인마케팅컨설팅,130,10,17773,73804,7,567.723076923077,7380.4,527.1714285714286,136.7153846153846,1777.3,126.95,0.05384615384615385,0.7,0.05
인터넷광고비용,70,60,8886,274316,297,3918.8,4571.933333333333,2110.123076923077,126.94285714285714,148.1,68.35384615384615,4.242857142857143,4.95,2.2846153846153845
마케팅전문,10,10,432640,700812,254,70081.2,70081.2,35040.6,43264.0,43264.0,21632.0,25.4,25.4,12.7
음식점광고,720,180,69181,145615,1312,202.24305555555554,808.9722222222222,161.79444444444445,96.08472222222223,384.3388888888889,76.86777777777777,1.8222222222222222,7.288888888888889,1.4577777777777778
광고관리시스템,830,100,2524,259836,1,313.05542168674697,2598.36,279.39354838709676,3.040963855421687,25.24,2.713978494623656,0.0012048192771084338,0.01,0.001075268817204301
마케팅유치원,10,10,20162,25527,259,2552.7,2552.7,1276.35,2016.2,2016.2,1008.1,25.9,25.9,12.95
네이버광고비용,290,250,70032,87465,3599,301.6034482758621,349.86,161.97222222222223,241.4896551724138,280.128,129.6888888888889,12.410344827586206,14.396,6.6648148148148145
마케팅실무교육,570,10,71859,86714,1404,152.1298245614035,8671.4,149.50689655172414,126.06842105263158,7185.9,123.8948275862069,2.463157894736842,140.4,2.420689655172414
네이버검색노출,190,100,209774,140911,21,741.6368421052632,1409.11,485.9,1104.0736842105264,2097.74,723.3586206896551,0.11052631578947368,0.21,0.07241379310344828
네이버광고관리,1020,420,5657,102447,4,100.43823529411765,243.92142857142858,71.14375,5.546078431372549,13.469047619047618,3.928472222222222,0.00392156862745098,0.009523809523809525,0.002777777777777778
검색광고마케팅,30,10,6050,183028,32,6100.933333333333,18302.8,4575.7,201.66666666666666,605.0,151.25,1.0666666666666667,3.2,0.8
스폰서링크,50,20,17353,17957,4,359.14,897.85,256.5285714285714,347.06,867.65,247.9,0.08,0.2,0.05714285714285714
정직한마케팅,730,70,25826,47662,1,65.2904109589041,680.8857142857142,59.5775,35.37808219178082,368.9428571428571,32.2825,0.0013698630136986301,0.014285714285714285,0.00125
신상품마케팅,10,10,23948,34019,31,3401.9,3401.9,1700.95,2394.8,2394.8,1197.4,3.1,3.1,1.55
파라솔홍보,10,10,6890,8363,71,836.3,836.3,418.15,689.0,689.0,344.5,7.1,7.1,3.55
통합검색,330,950,47182,356769,746,1081.1181818181817,375.5463157894737,278.72578125,142.97575757575757,49.665263157894735,36.8609375,2.2606060606060607,0.7852631578947369,0.5828125
부산마케팅교육,30,30,60366,56358,12,1878.6,1878.6,939.3,2012.2,2012.2,1006.1,0.4,0.4,0.2
광고교육,50,30,486280,571028,698,11420.56,19034.266666666666,7137.85,9725.6,16209.333333333334,6078.5,13.96,23.266666666666666,8.725
인터넷팝업광고,740,30,9473,17949,0,24.255405405405405,598.3,23.31038961038961,12.801351351351352,315.76666666666665,12.302597402597403,0.0,0.0,0.0
검색키워드,480,220,741122,366398,109,763.3291666666667,1665.4454545454546,523.4257142857143,1544.0041666666666,3368.7363636363634,1058.7457142857143,0.22708333333333333,0.4954545454545455,0.15571428571428572
기획강의,70,10,143920,301435,1135,4306.214285714285,30143.5,3767.9375,2056.0,14392.0,1799.0,16.214285714285715,113.5,14.1875
네이티브광고,700,530,7143,8599,3,12.284285714285714,16.224528301886792,6.991056910569106,10.204285714285714,13.477358490566038,5.807317073170732,0.004285714285714286,0.005660377358490566,0.0024390243902439024
화장품광고,1110,1000,145252,355007,1402,319.8261261261261,355.007,168.24976303317536,130.85765765765765,145.252,68.83981042654028,1.263063063063063,1.402,0.6644549763033175
휴대폰광고,410,900,171258,203690,2212,496.8048780487805,226.32222222222222,155.4885496183206,417.70243902439023,190.28666666666666,130.73129770992367,5.3951219512195125,2.457777777777778,1.6885496183206108
DA광고,740,340,5021,13557,292,18.32027027027027,39.87352941176471,12.552777777777777,6.785135135135135,14.76764705882353,4.649074074074074,0.3945945945945946,0.8588235294117647,0.27037037037037037
광고매체사,20,20,3066,9178,0,458.9,458.9,229.45,153.3,153.3,76.65,0.0,0.0,0.0
네이버마케팅강의,10,10,25316,38460,12,3846.0,3846.0,1923.0,2531.6,2531.6,1265.8,1.2,1.2,0.6
언론홍보교육,20,10,44438,75279,4197,3763.95,7527.9,2509.3,2221.9,4443.8,1481.2666666666667,209.85,419.7,139.9
온라인마케터,1050,730,44234,67247,7,64.0447619047619,92.11917808219178,37.779213483146066,42.12761904761905,60.59452054794521,24.85056179775281,0.006666666666666667,0.009589041095890411,0.003932584269662922
